date,Action,symbol,Quantity,Price,close,adj,vol,pos,curval,curcost,curpl,trdnum
2018-09-11,NA,AMZN,0,0,1987.150024,1987.150024,5033600,1,1987.150024,-908.29,1078.860024,NA
2018-09-12,NA,AMZN,0,0,1990,1990,4414000,1,1990,-908.29,1081.71,NA
2018-09-13,NA,AMZN,0,0,1989.869995,1989.869995,3621500,1,1989.869995,-908.29,1081.579995,NA
2018-09-14,NA,AMZN,0,0,1970.189941,1970.189941,3642000,1,1970.189941,-908.29,1061.8999410000001,NA
2018-09-17,NA,AMZN,0,0,1908.030029,1908.030029,7050200,1,1908.030029,-908.29,999.740029,NA
2018-09-18,NA,AMZN,0,0,1941.050049,1941.050049,4268700,1,1941.050049,-908.29,1032.760049,NA
2018-09-19,NA,AMZN,0,0,1926.420044,1926.420044,4056800,1,1926.420044,-908.29,1018.130044,NA
2018-09-20,NA,AMZN,0,0,1944.300049,1944.300049,3154900,1,1944.300049,-908.29,1036.010049,NA
2018-09-21,NA,AMZN,0,0,1915.01001,1915.01001,6855900,1,1915.01001,-908.29,1006.72001,NA
2018-09-24,NA,AMZN,0,0,1934.359985,1934.359985,4213700,1,1934.359985,-908.29,1026.069985,NA
2018-09-25,NA,AMZN,0,0,1974.550049,1974.550049,4538400,1,1974.550049,-908.29,1066.260049,NA
2018-09-26,NA,AMZN,0,0,1974.849976,1974.849976,4313500,1,1974.849976,-908.29,1066.559976,NA
2018-09-27,NA,AMZN,0,0,2012.97998,2012.97998,4329400,1,2012.97998,-908.29,1104.68998,NA
2018-09-28,NA,AMZN,0,0,2003,2003,4085100,1,2003,-908.29,1094.71,NA
2018-10-01,NA,AMZN,0,0,2004.359985,2004.359985,3460500,1,2004.359985,-908.29,1096.069985,NA
2018-10-02,NA,AMZN,0,0,1971.310059,1971.310059,5400700,1,1971.310059,-908.29,1063.020059,NA
2018-10-03,NA,AMZN,0,0,1952.76001,1952.76001,5253100,1,1952.76001,-908.29,1044.47001,NA
2018-10-04,NA,AMZN,0,0,1909.420044,1909.420044,7257000,1,1909.420044,-908.29,1001.130044,NA
2018-10-05,NA,AMZN,0,0,1889.650024,1889.650024,6822300,1,1889.650024,-908.29,981.3600240000001,NA
2018-10-08,NA,AMZN,0,0,1864.420044,1864.420044,7393200,1,1864.420044,-908.29,956.130044,NA
2018-10-09,NA,AMZN,0,0,1870.319946,1870.319946,4772900,1,1870.319946,-908.29,962.0299460000001,NA
2018-10-10,NA,AMZN,0,0,1755.25,1755.25,10988900,1,1755.25,-908.29,846.96,NA
2018-10-11,NA,AMZN,0,0,1719.359985,1719.359985,13935900,1,1719.359985,-908.29,811.0699850000001,NA
2018-10-12,NA,AMZN,0,0,1788.609985,1788.609985,9444600,1,1788.609985,-908.29,880.3199850000001,NA
2018-10-15,NA,AMZN,0,0,1760.949951,1760.949951,6437200,1,1760.949951,-908.29,852.6599510000001,NA
2018-10-16,NA,AMZN,0,0,1819.959961,1819.959961,5859900,1,1819.959961,-908.29,911.6699610000001,NA
2018-10-17,NA,AMZN,0,0,1831.72998,1831.72998,5295200,1,1831.72998,-908.29,923.4399800000001,NA
2018-10-18,NA,AMZN,0,0,1770.719971,1770.719971,5874000,1,1770.719971,-908.29,862.429971,NA
2018-10-19,NA,AMZN,0,0,1764.030029,1764.030029,5907200,1,1764.030029,-908.29,855.740029,NA
2018-10-22,NA,AMZN,0,0,1789.300049,1789.300049,4500000,1,1789.300049,-908.29,881.010049,NA
2018-10-23,buy,AMZN,1,1726.47,1768.699951,1768.699951,6723900,2,3537.399902,-2634.77,902.6299020000001,5
2018-10-24,NA,AMZN,0,0,1664.199951,1664.199951,6928400,2,3328.399902,-2634.77,693.6299020000001,NA
2018-10-25,sell,AMZN,-1,1720.45,1782.170044,1782.170044,10285700,1,1782.170044,-914.3499999999999,867.820044,6
2018-10-26,buy,AMZN,2,1648.39,1642.810059,1642.810059,14963800,3,4928.430177,-4216.08,712.3501770000003,7
2018-10-29,NA,AMZN,0,0,1538.880005,1538.880005,13866100,3,4616.640015,-4216.08,400.560015,NA
